orange,Orange,Orange,Naranja,Oranje,オレンジ
open-view-select-annot-to-link,Open another view with an image from the same image group and select annotation to link with.,Une nouvelle vue avec une image du même groupe d'images doit être ouverte avec l'annotation à lier sélectionnée.,Abra otra vista con una imagen del mismo grupo de imágenes y seleccione la anotación para vincularla.,Open een andere weergave met een afbeelding uit dezelfde afbeeldingsgroep en selecteer een annotatie om mee te linken.,同じ画像グループ内の画像で別のビューを開き、リンクするアノテーションを選択してください。
original-no-filter,Original (no filter),Pas de filtre,Original (sin filtro),Geen filter,オリジナル（フィルターなし）
originalFilename,Original filename,Nom du fichier d'origine,Nombre de archivo original,Oorspronkelijke bestandsnaam,元のファイル名
other-information,Other information,Autres informations,Otra información,Andere informaties,その他の情報
outline-color,Outline color,Couleur du contour,Color de contorno,Outline kleur,輪郭の色
overview,Overview,Aperçu,Visión general,In zicht,概要
page-not-found,Page not found,Page non trouvée,Página no encontrada,Pagina niet gevonden,ページが見つかりません
parameters,Parameters,Paramètres,Parámetros,Parameters,パラメーター
password-confirm,New password (confirm),Nouveau mot de passe (confirmation),Nueva contraseña (confirmar),Nieuw paswoord (bevestiging),新しいパスワード（確認）
password,Password,Mot de passe,Contraseña,Paswoord,パスワード
password-current,Current password,Mot de passe actuel,Contraseña actual,Huidig paswoord,現在のパスワード
password-expired-info-message,Your password has expired. Please choose a new one.,Votre mot de passe a expiré. Veuillez en choisir un nouveau,"Su contraseña ha expirado. Por favor, elija una nueva.",Uw wachtwoord is verlopen. Kies een nieuwe,パスワードの有効期限が切れています。新しいパスワードを設定してください。
password-new,New password,Nouveau mot de passe,Nueva contraseña,Nieuw paswoord,新しいパスワード
paste-repeat-info,Repeat on {input} next slices.,Répéter sur les {input} plans suivants.,,Herhaal dit bij volgende {input}-slices.,次の {input} スライスに繰り返します。
paste,Paste,Coller,,Plakken,貼り付け
paste-repeat,Repeat,Répéter,,Herhalen,繰り返し
paste-with-link,Paste with link,Coller avec un lien,Pegar con enlace,Plakken met link,リンク付きで貼り付け
per-image,Per image,Par image,Por imagen,Per afbeelding,画像ごと
paste-with-link-info,Select image(s) where to paste and link the copied annotation:,Sélectionner la ou les image(s) où coller et lier l'annotation copiée:,Seleccione la(s) imagen(es) donde pegar y vincule la anotación copiada:,Selecteer afbeelding(en) waar u de gekopieerde annotatie wilt plakken en koppelen:,コピーしたアノテーションを貼り付けてリンクする画像を選択してください：
per-term,Per term,Par terme,Por trimestre,Per termijn,用語ごと
per-image-group,Per image group,Par groupe d'images,Por grupo de imágenes,Per beeldgroep,画像グループごと
per-track,Per track,Par trace,Por pista,Per track,トラックごと
per-user,Per user,Par utilisateur,Por usuario,Per user,ユーザーごと
perimeter,Perimeter,Périmètre,Perímetro,Omtrek,周囲長
period,Period,Période,Período,Periode,期間
pixel-intensity,Intensity,Intensité,,Intensiteit,強度
pixels,pixels,pixels,píxeles,pixel,ピクセル
point,Point,Point,Punto,Punt,ポイント
polygon,Polygon,Polygone,Polígono,Veelhoek,ポリゴン
possible-conflict,Possible conflict,Conflit potentiel,Posible conflicto,Potentieel conflict,競合の可能性
prefilled-parameters,Pre-filled parameters,Paramètres pré-remplis,Parámetros por defecto,Vooraf ingevulde parameters,事前入力済みパラメーター
prefix,Prefix,Préfixe,Prefijo,Voorvoegsel,プレフィックス
preview-size,Preview size,Taille de l'aperçu,Tamaño de vista previa,Preview size,プレビューサイズ
preview,Preview,Aperçu,Vista previa,Preview,プレビュー
previewed,Previewed,Prévisualisé,Vista previa,Previewed,プレビュー済み
private-key,Private key,Clé privée,Clave privada,Prive sleutel,秘密鍵
profile,Profile,Profil,Perfil,Profiel,プロフィール
profile-projection,Profile projection,Projection du profil,Proyección de perfil,Profiel projectie,プロファイル投影
progress,Progress,Progrès,Progreso,Progress,進捗
project-connections-info-message,A project connection is recorded each time a user opens a project in Cytomine,Une connexion au projet est enregistrée à chaque ouverture de projet dans Cytomine,Se registra una conexión al proyecto cada vez que un usuario abre un proyecto en Cytomine,"Elke keer dat de user een project in Cytomine opent, wordt een projectverbinding opgeslagen",プロジェクト接続は、ユーザーがCytomineでプロジェクトを開くたびに記録されます。
project,Project,Projet,Proyecto,Project,プロジェクト
project-connections,Project connections,Connexions au projet,Conexiones del proyecto,Projectverbindingen,プロジェクト接続
project-contributor,Project contributor,Contributeur du projet,Colaborador del proyecto,Projectmedewerker,プロジェクトコントリビューター
project-manager,Project manager,Responsable du projet,Administrador del proyecto,Projectleider,プロジェクトマネージャー
project-representative,Project representative,Personne de contact du projet,Persona de contacto del proyecto,Projectcontactpersoon,プロジェクト担当者
project-side-bar,Project side bar,Barre latérale du projet,Barra lateral del proyecto,Project zijbalk,プロジェクトサイドバー
projects,Projects,Projets,Proyectos,Projecten,プロジェクト
properties,Properties,Propriétés,Propiedades,Eigenschappen,プロパティ
provisioned,Provisioned,Approvisionné,Aprovisionado,Voorzien,プロビジョニング済み
public-key,Public key,Clé publique,Clave pública,Publieke sleutel,公開鍵
purple,Purple,Violet,Violeta,Paars,紫
ql-align,Text align,Alignement du texte,Alineamiento de texto,Tekstuitlijning,テキスト配置
ql-background-color,Background color,Couleur du fond,Color de fondo,Achtergrond kleur,背景色
ql-blockquote,Quote,Citation,Citar,Citaat,引用
ql-bold,Bold,Gras,Negrita,Vetgedrukt,太字
ql-bullet-list,Bullet list,Liste à puces,Lista de viñetas,Lijst met opsommingstekens,箇条書きリスト
ql-clean-format,Remove formatting,Supprimer la mise en forme,Eliminar formato,Formatting verwijderen,書式を削除
ql-code-block,Code,Code,Código,Code,コード
ql-font-color,Font color,Couleur du texte,Color de fuente,Tekst kleur,フォントの色
ql-font,Font,Police,Fuente,Lettertype,フォント
ql-header-1,Header 1,Titre 1,Encabezado 1,Titel 1,見出し1
ql-header-2,Header 2,Titre 1,Encabezado 2,Titel 1,見出し2
ql-header-3,Header 3,Titre 3,Encabezado 3,Titel 3,見出し3
ql-header-4,Header 4,Titre 4,Encabezado 4,Titel 4,見出し4
ql-image,Add an image,Ajouter une image,Agregar una imagen,Een afbeelding toevoegen,画像を追加
ql-indent-left,Indent left,Indentater vers la gauche,Sangría izquierda,Links inspringen,左へインデント
ql-indent-right,Indent right,Indenter vers la droit,Sangría derecha,Rechts inspringen,右へインデント
ql-italic,Italic,Italique,Itálica,Cursief,斜体
ql-link,Add a link,Ajouter un lien,Agregar un enlace,Een link toevoegen,リンクを追加
ql-ordered-list,Ordered list,Liste ordonnée,Lista ordenada,Georende lijst,番号付きリスト
ql-paragraph,Paragraph,Paragraphe,Párrafo,Paragraaf,段落
ql-special-character,Special characters,Caractères spéciaux,Caracteres especiales,Speciale karakters,特殊文字
ql-subscript,Subscript,Indice,Subíndice,index,下付き文字
ql-superscript,Superscript,Exposant,Superíndice,Superscript tekst,上付き文字
ql-underline,Underline,Souligné,Subrayar,Onderstrepen,下線
ql-video,Add a video,Ajouter une vidéo,Agregar un video,Een filmpje toevoegen,動画を追加
R&D,R&D,R&D,R&D,R&D,R&D
read-only-mode-explanation," Contributors will not be able to add, edit or delete project data, annotations, properties and descriptions even on their own layers.","Les contributeurs ne pourront ni ajouter, ni éditer, ni supprimer d'annotation (pas même sur leurs propres calques).","Los colaboradores no podrán agregar, editar o eliminar datos, anotaciones, propiedades y descripciones del proyecto, incluso en sus propias capas.","Bijdragers kunnen geen annotaties toevoegen, bewerken of verwijderen (zelfs niet op hun eigen lagen).", コントリビューターは、自分のレイヤーであっても、プロジェクトデータ、アノテーション、プロパティ、説明の追加・編集・削除を行うことができません。
read-only,Read only,Lecture seule,Solo lectura,Alleen lezen,読み取り専用
recently-opened,Recently opened,Consultés récemment,Abiertas recientemente,Recent bekeken,最近開いたもの
rectangle,Rectangle,Rectangle,Rectángulo,Rechthoek,四角形
red,Red,Rouge,Rojo,Rood,赤
redo,Redo,Refaire,Rehacer,Opnieuw doen,やり直し
regenerate-api-keys,Regenerate,Regénérer,Regenerar,Regenereren,再生成
register,Register,Inscription,Registrarse,Inschrijving,登録
registration-date,Registration date,Date d'inscription,Fecha de registro,Registratie datum,登録日
reject-annotation,Reject annotation,Rejeter l'annotation,Rechazar anotación,Annotatie afwijzen,アノテーションを却下
relative-link-mode,Relative,Relatif,,Relatief,相対
relaunch,Relaunch,Relancer,,Herstarten,再起動
remark-long-operation,Remark: this operation may take some time,Remarque : cette opération pourrait prendre un certain temps,Observación: esta operación puede llevar algún tiempo,Opmerking: deze bewerking kan enige tijd duren,注意：この操作には時間がかかる場合があります。
remember-me,Remember me,Se rappeler de moi,Recuérdame,Onthouden,ログイン状態を保持する
remove-members-confirmation-message,- | Do you really want to remove user {username} from project? | Do you really want to remove the {count} selected users from project?,- | Êtes-vous sûr de vouloir retirer {username} du projet ? | Êtes-vous sûr de vouloir supprimer les {count} membres sélectionnés du projet ?,- | ¿Realmente desea eliminar el usuario {username} del proyecto? | ¿Realmente desea eliminar los {count} usuarios seleccionados del proyecto?,- | Bent u zeker dat u {username} uit het project wilt verwijderen? | Bent u zeker dat u de geselecteerde {count} leden uit het project wilt verwijderen?,- | ユーザー {username} をプロジェクトから本当に削除しますか？ | 選択した {count} 人のユーザーをプロジェクトから本当に削除しますか？
remove-members,Remove members,Retirer les membres,Eliminar miembros,Leden verwijderen,メンバーを削除
remove-yourself-from-manager-confirmation-message,Are you sure you want to remove yourself from the project managers? You will not be able to undo this action,Êtes-vous sûr de souhaiter vous retirer des responsables du projet ? Cette action est irréversible,¿Está seguro de que desea dejar de ser administrador del proyecto? No podrá deshacer esta acción,Bent u zeker dat u uwzelf wilt verwijderen uit de projectleiders? Deze actie is onomkeerbaar,本当にプロジェクト管理者から自分を外しますか？この操作は取り消すことができません。
remove-yourself-from-manager,Remove management rights,Retrait des droits de gestion,Eliminar derechos de administración,Intrekking van beheerrechten,管理権限を削除
rename-image,Rename the image,Renommer l'image,Renombrar la imagen,Afbeelding hernoemen,画像の名前を変更
rename,Rename,Renommer,Renombrar,Hernoemen,名前を変更
rename-ontology,Rename ontology,Renommer l'ontologie,Renombrar ontología,Ontologie hernoemen,オントロジーの名前を変更
rename-image-group,Rename the image group,Renommer le groupe d'images,Cambiar el nombre del grupo de imágenes,Hernoem de afbeeldingsgroep,画像グループの名前を変更
rename-project,Rename the project,Renommer le projet,Renombrar proyecto,Project hernoemen,プロジェクトの名前を変更
representative-icon-label,You are a representative of this project,Vous êtes une personne de contact du projet,Usted es una persona de contacto de este proyecto.,U bent projectcontactpersoon,あなたはこのプロジェクトの代表者です。
representative,Representative,Personne de contact,Persona de contacto,Contactpersoon,代表者
representatives,Representatives,Personnes de contact,Personas de contacto,Contactpersonen,代表者一覧
rescale,Rescale,Redimensionner,,Formaat wijzigen,再スケール
resize,Resize,Redimensionner,Redimensionar,Formaat wijzigen,サイズ変更
resolution,Resolution X/Y,Résolution X/Y,Resolución X/Y,X/Y-resolutie,解像度 X/Y
restricted-mode-explanation,"Contributors will not be able to add, edit or delete project data except annotations, properties and descriptions on their own layers.","Les contributeurs ne pourront ajouter, éditer et supprimer que les annotations de leurs propres calques.","Los colaboradores no podrán agregar, editar o eliminar datos del proyecto, excepto anotaciones, propiedades y descripciones en sus propias capas.","Bijdragers kunnen alleen annotaties toevoegen, bewerken en verwijderen uit hun eigen lagen.",コントリビューターは、自分のレイヤー上のアノテーション、プロパティ、説明を除き、プロジェクトデータの追加・編集・削除を行うことができません。
restricted,Restricted,Restreint,Restringido,Beperkt,制限あり
results,Results,Résultats,Resultados,Resultaten,結果
review-explanation,You can review the visible annotations individually using the select tool or treat them all in batch with below buttons.,Vous pouvez valider les annotations en les sélectionnant une par une ou les traiter toutes à la fois avec les boutons ci-dessous,Puede revisar las anotaciones visibles individualmente utilizando la herramienta de selección o tratarlas todas en lote con los botones a continuación.,U kunt de annotaties valideren door ze één voor één te selecteren of ze allemaal tegelijk te verwerken met onderstaande knoppen,選択ツールを使って表示中のアノテーションを個別にレビューするか、下のボタンでまとめて処理できます。
review,Review,Validation,Revisión,Review,レビュー
review-layer,Review layer,Calque de validation,Capa de revisión,Review laag,レビューレイヤー
review-list-visible-layers,The following layers are currently displayed: {visibleLayers}.,Les calques suivant sont affichés : {visibleLayers}.,Las siguientes capas se muestran actualmente: {visibleLayers}.,De volgende lagen worden weergegeven: {visibleLayers}.,現在表示中のレイヤー：{visibleLayers}。
reviewed-annotation-status-not-validated,Not validated,Non validé,No validado,Niet gevalideerd,未承認
reviewed,Reviewed,Validée,Revisados,Reviewed,レビュー済み
reviewed-annotation-status-validated,Validated,Validé,Validado,Gevalideerd,承認済み
reviewed-annotation-status,Review Status,Statut de la révision,Estado de revisión,Review Status,レビューステータス
reviewed-annotations-info-message,Annotations validated during the review process,Annotations validées durant le processus de validaion,Anotaciones validadas durante el proceso de revisión.,Annotaties gevalideerd tijdens het reviewproces,レビュープロセスで承認されたアノテーション
reviewed-annotations,Reviewed Annotations,Annotations validées,Anotaciones revisadas,Gevalideerde annotaties,レビュー済みアノテーション
reviewed-by,Reviewed by,Validé par,Revisado por,Reviewed door,レビュー担当者
reviewed-on,Reviewed on,Validé le,Revisado el,Reviewed op,レビュー日
reviewers,Reviewers,Validateurs,Revisores,Reviewers,レビュアー
role,Role,Rôle,Papel,Rol,ロール
rotate,Rotate,Pivoter,Girar,Schommelen,回転
run-number,Run number,#,Número de ejecución,#,実行番号
running,Running,En cours,En ejecución,Bezig,実行中
sample-preview-of,Sample preview of {filename},Aperçu de l'image {filename},Vista previa de muestra de {filename},Afbeeldingsvoorbeeld {filename},{filename} のサンプルプレビュー
sample-preview,Sample preview,Aperçu de l'image,Vista previa de muestra,Afbeeldingsvoorbeeld,サンプルプレビュー
saturation,Saturation,Saturation,Saturación,Verzadiging,彩度
screenshot,Screenshot current image view,Capture d'écran de l'image actuelle,,Screenshot van de huidige afbeelding,現在の画像ビューをスクリーンショット
search-or-create-tag,Search tag (or create a new one by typing its name and pressing Enter)...,Rechercher un tag (ou créer un nouveau en entrant son nom suivi de la touche Enter)...,Busque la etiqueta (o cree una nueva escribiendo su nombre y presionando Enter) ...,Zoek naar een tag (of maak een nieuwe aan door de naam in te voeren gevolgd door de Enter-toets)...,タグを検索（名前を入力してEnterキーを押すと新規作成）...
search-placeholder,Search,Recherche,Buscar,Zoeken,検索
search-similar-annotation,Search for similar annotations,Recherche d'annotations similaires,Buscar anotaciones similares,Zoeken naar soortgelijke annotaties,類似アノテーションを検索
search-user,Search user...,Rechercher un utilisateur...,Buscar usuario...,Zoek een gebruiker...,ユーザーを検索...
seconds,second | seconds,seconde | secondes,,tweede | seconden,秒 | 秒
select-all,Select all,Tout sélectionner,Seleccionar todo,Selecteer alles,すべて選択
select,Select,Sélectionner,Seleccione,Selecteer,選択
select-annotation,Select an annotation,Sélectionner une annotation,Seleccionar una anotación,Selecteer een annotatie,アノテーションを選択
select-date,Select a date,Choisir une date,Seleccione una fecha,Selecteer een datum,日付を選択
select-image-group,Select image group,Choisir le groupe d'images,Seleccionar grupo de imágenes,Selecteer beeldgroep,画像グループを選択
select-image-to-add,Select an image to add,Sélectionner une image à ajouter,Seleccione una imagen para agregar,Selecteer een afbeelding om toe te voegen,追加する画像を選択
select-layer-placeholder,Select a layer,Sélectionner un calque,Seleccione una capa,Selecteer een laag,レイヤーを選択
select-layer,Select a layer,Sélectionner un calque,Selecciona una capa,Selecteer een laag,レイヤーを選択
select-ontology,Select ontology,Choisir l'ontologie,Seleccione ontología,Kies ontologie,オントロジーを選択
select-options,Select options,Sélectionner les options,Seleccione opciones,Selecteer opties,オプションを選択
select-project,Select a project,Sélectionner un project,Seleccione un proyecto,Selecteer een project,プロジェクトを選択
send-to-all-project-members,Send to all project members,Envoyer à tous les membres du projet,Enviar a todos los miembros del proyecto,Stuur naar alle projectleden,すべてのプロジェクトメンバーに送信
selection-in-view,Selection in view {number},Sélection dans la vue {number},Selección a la vista {número},Selectie in weergave {nummer},ビュー {number} 内の選択
send-to-some-members,Send to some project members only,Envoyer à certains membres seulement,Enviar solo a algunos miembros del proyecto,Alleen naar bepaalde projectleden verzenden,一部のプロジェクトメンバーのみに送信
services,Services,Services,Servicios,Diensten,サービス
set-magnification,Set magnification,Changer le grossissement,Establecer nivel de aumento,De vergroting veranderen,倍率を設定
shortcut-general-close-modal,Close a modal,Fermer une fenêtre,Cerrar una ventana de diálogo,Een venster sluiten,モーダルを閉じる
shortcut,Keyboard shortcut,Raccourci clavier,Atajo de teclado,Toetsenbord sneltoets,キーボードショートカット
shortcut-general-shortcuts-modal,Bring up this keyboard shortcut list,Afficher cette liste de raccourcis clavier,,Deze lijst met sneltoetsen tonen,キーボードショートカット一覧を表示
shortcut-general,General,Général,General,Algemeen,一般
shortcut-text-editor-bold,Format text in bold,Mettre le texte en gras,Negrita,De tekst vet maken,テキストを太字に書式設定
shortcut-text-editor,Text editor,Editeur de texte,Editor de texto,Teksteditor,テキストエディター
shortcut-text-editor-italic,Format text in italic,Mettre le texte en italique,Cursiva,De tekst cursief maken,テキストをイタリック体に書式設定
shortcut-text-editor-underline,Format text underlined,Souligner le texte,Subrayado,Tekst onderstrepen,テキストに下線を書式設定
shortcut-viewer-nav-drag-rotate,Rotate image,Faire tourner l'image,Girar imagen,De afbeelding draaien,画像を回転
shortcut-viewer-nav,Viewer: Navigation,Visualisateur : Naviguation,Visor: Navegación,Viewer: Navigatie,ビューアー：ナビゲーション
shortcut-viewer-nav-drag-zoom,Zoom in area,Zoomer dans une région,Acercar a la región,Zoom in op een area,エリアをズームイン
shortcut-viewer-nav-first-c,Go to first channel,Aller au premier canal,Ir al primer canal,Ga naar het eerste channel,最初のチャンネルへ移動
shortcut-viewer-nav-first-slice,Go to first plane,Aller au premier plan,Ir al primer corte,Ga naar de eerste plan,最初のプレーンへ移動
shortcut-viewer-nav-first-t,Go to first frame,Aller à la première frame,Ir al primer cuadro,Ga naar het eerste frame,最初のフレームへ移動
shortcut-viewer-nav-first-z,Go to first slice,Aller à la première tranche,Ir al primer plano,Ga naar eerste slice,最初のスライスへ移動
shortcut-viewer-nav-last-c,Go to last channel,Aller au dernier canal,Ir al último canal,Ga naar het laatste channel,最後のチャンネルへ移動
shortcut-viewer-nav-last-slice,Go to last plane,Aller au dernier plan,Ir al último corte,Ga naar het laatste plan,最後のプレーンへ移動
shortcut-viewer-nav-last-t,Go to last frame,Aller à la dernière frame,Ir al último cuadro,Ga naar het laatste frame,最後のフレームへ移動
shortcut-viewer-nav-last-z,Go to last slice,Aller à la dernière tranche,Ir al último plano,Ga naar de laatste slice,最後のスライスへ移動
shortcut-viewer-nav-move-down,Move down,Déplacer vers le bas,Desplazar hacia abajo,Naar beneden verplaatsen,下へ移動
shortcut-viewer-nav-move-left,Move left,Déplacer vers la gauche,Desplazar hacia la izquierda,Naar links gaan,左へ移動
shortcut-viewer-nav-move-right,Move right,Déplacer vers la droite,Desplazar a la derecha,Naar rechts gaan,右へ移動
shortcut-viewer-nav-move-up,Move up,Déplacer vers le haut,Desplazar hacia arriba,Omhoog gaan,上へ移動
shortcut-viewer-nav-next-annot-link,Go to next linked annotation,Aller à l'annotation liée suivante,Ir a la siguiente anotación vinculada,Ga naar de volgende gekoppelde annotatie,次のリンクされたアノテーションへ移動
shortcut-viewer-nav-next-c,Go to next channel,Aller au canal suivant,Ir al siguiente canal,Ga naar het volgende channel,次のチャンネルへ移動
shortcut-viewer-nav-next-image,Go to next image,Aller à l'image suivante,Ir a la siguiente imagen,Ga naar volgende afbeelding,次の画像へ移動
shortcut-viewer-nav-next-image-in-group,Go to next image in group,Aller à l'image suivante dans le groupe,Ir a la siguiente imagen del grupo,Ga naar volgende afbeelding in groep,グループ内の次の画像へ移動
shortcut-viewer-nav-next-slice,Go to next plane,Aller au plan suivant,Ir al siguiente corte,Ga naar het volgende plan,次のプレーンへ移動
shortcut-viewer-nav-next-t,Go to next frame,Aller à la frame suivante,Ir al siguiente cuadro,Ga naar het volgende frame,次のフレームへ移動
shortcut-viewer-nav-next-z,Go to next slice,Aller à la tranche suivante,Ir al siguiente plano,Ga naar het volgende slice,次のスライスへ移動
shortcut-viewer-nav-previous-annot-link,Go to previous linked annotation,Aller à l'annotation liée précédente,Ir a la anotación vinculada anterior,Ga naar vorige gekoppelde annotatie,前のリンクされたアノテーションへ移動
shortcut-viewer-nav-previous-c,Go to previous channel,Aller au canal précédent,Ir al canal anterior,Ga naar het vorige channel,前のチャンネルへ移動
shortcut-viewer-nav-previous-image,Go to previous image,Aller à l'image précédente,Ir a la imagen anterior,Ga naar vorige afbeelding,前の画像へ移動
shortcut-viewer-nav-previous-image-in-group,Go to previous image in group,Aller à l'image précédente dans le groupe,Ir a la imagen anterior en grupo,Ga naar vorige afbeelding in groep,グループ内の前の画像へ移動
shortcut-viewer-nav-previous-slice,Go to previous plane,Aller au plan précédent,Ir al corte anterior,Ga naar het vorige plan,前のプレーンへ移動
shortcut-viewer-nav-previous-t,Go to previous frame,Aller à la frame précédente,Ir al cuadro anterior,Ga naar het vorige frame,前のフレームへ移動
shortcut-viewer-nav-previous-z,Go to previous slice,Aller à la tranche précédente,Ir al plano anterior,Ga naar het vorige slice,前のスライスへ移動
shortcut-viewer-nav-zoom-in,Zoom in,Zoomer,Aumentar escala,Inzoomen,ズームイン
shortcut-viewer-nav-zoom-out,Zoom out,Dézoomer,Disminuir escala,Uitzoomen,ズームアウト
shortcut-viewer-toggle-add-image,Toggle image selector,Afficher/Masquer le sélecteur d'images,Alternar selector de imagen,Afbeeldingsselector tonen/verbergen,画像セレクターの切り替え
shortcut-viewer-toggle,Viewer: Display,Visualisateur : Affichage,Visor: Pantalla,Viewer: weergeven,ビューアー：表示
shortcut-viewer-toggle-all-annotations,Toggle annotations panel in all views,Afficher/Masquer le panneau des annotations dans toutes les vues,,Annotatiepaneel in alle views tonen/verbergen,全ビューのアノテーションパネルの切り替え
shortcut-viewer-toggle-all-broadcast,Toggle broadcast panel in all views,Afficher/Masquer le panneau de diffusion et suivi dans toutes les vues,,Uitzending en opvolgingen paneel in alle views tonen/verbergen,全ビューのブロードキャストパネルの切り替え
shortcut-viewer-toggle-all-current,Toggle currently selected annotation panel in all views,Afficher/Masquer les détails de l'annotation sélectionnée dans toutes les vues,,Geselecteerde annotatiedetails in alle views tonen/verbergen,全ビューの選択中アノテーションパネルの切り替え
shortcut-viewer-toggle-all-filters,Toggle image color panel in all views,Afficher/Masquer le panneau de colorisation de l'image dans toutes les vues,,Toon/verberg afbeeldingskleurpaneel in alle views,全ビューの画像カラーパネルの切り替え
shortcut-viewer-toggle-all-information,Toggle information panel in all views,Afficher/Masquer le panneau d'information dans toutes les vues,,Infopaneel weergeven/verbergen in alle views,全ビューの情報パネルの切り替え
shortcut-viewer-toggle-all-layers,Toggle layers panel in all views,Afficher/Masquer le panneau des calques dans toutes les vues,,Lagenpaneel tonen/verbergen in alle views,全ビューのレイヤーパネルの切り替え
shortcut-viewer-toggle-all-link,Toggle image synchronization panel in all views,Afficher/Masquer le panneau de synchronisation des images dans toutes les vues,,Toon/verberg Frame Sync-paneel in alle views,全ビューの画像同期パネルの切り替え
shortcut-viewer-toggle-all-ontology,Toggle terms panel in all views,Afficher/Masquer le panneau des termes dans toutes les vues,,Toon/verberg termenpaneel in alle  views,全ビューの用語パネルの切り替え
shortcut-viewer-toggle-all-overview,Toggle overview in all views,Afficher/Masquer l'aperçu dans toutes les vues,,Voorbeeld tonen/verbergen in alle views,全ビューのオーバービューの切り替え
shortcut-viewer-toggle-all-properties,Toggle properties panel in all views,Afficher/Masquer le panneau des propriétés dans toutes les vues,,Toon/verberg eigenschappenvenster in alle views,全ビューのプロパティパネルの切り替え
shortcut-viewer-toggle-all-review-layer,Toggle review layer in review mode in all views,Afficher/masquer le calque de validation en mode validation dans toutes les vues,,Validatielaag in review mode in alle views tonen/verbergen,全ビューのレビューモードにおけるレビューレイヤーの切り替え
shortcut-viewer-toggle-all-review,Toggle review panel in all views,Afficher/Masquer le panneau de validation dans toutes les vues,,Validatiepaneel in alle views tonen/verbergen,全ビューのレビューパネルの切り替え
shortcut-viewer-toggle-all-selected-layers,Toggle visibility of selected layers in all views,Afficher/masquer les calques d'annotations sélectionnés dans toutes les vues,,Toon/verberg geselecteerde annotatielagen in alle views,全ビューの選択レイヤーの表示切り替え
shortcut-viewer-toggle-all-zoom,Toggle zoom panel in all views,Afficher/Masquer le panneau de zoom dans toutes les vues,,Zoompaneel weergeven/verbergen in alle views,全ビューのズームパネルの切り替え
shortcut-viewer-toggle-annotations,Toggle annotations panel,Afficher/Masquer le panneau des annotations,Alternar panel de anotaciones,Annotatiepaneel tonen/verbergen,アノテーションパネルの切り替え
shortcut-viewer-toggle-broadcast,Toggle broadcast panel,Afficher/Masquer le panneau de diffusion et suivi,Alternar panel de transmisión,Uitzending en opvolgingspaneel tonen/verbergen,ブロードキャストパネルの切り替え
shortcut-viewer-toggle-current,Toggle currently selected annotation panel,Afficher/Masquer les détails de l'annotation sélectionnée,Alternar el panel de anotaciones seleccionado actualmente,Geselecteerde annotatiedetails tonen/verbergen,選択中アノテーションパネルの切り替え
shortcut-viewer-toggle-filters,Toggle image color panel,Afficher/Masquer le panneau de colorisation de l'image,Alternar panel de color de imagen,Het inkleuringspaneel voor afbeeldingen tonen/verbergen,画像カラーパネルの切り替え
shortcut-viewer-toggle-information,Toggle information panel,Afficher/Masquer le panneau d'information,Alternar panel de información,Informatiepaneel tonen/verbergen,情報パネルの切り替え
shortcut-viewer-toggle-layers,Toggle layers panel,Afficher/Masquer le panneau des calques,Alternar panel de capas,Lagen layerspaneel tonen/verbergen,レイヤーパネルの切り替え
shortcut-viewer-toggle-link,Toggle image synchronization panel,Afficher/Masquer le panneau de synchronisation des images,Alternar panel de sincronización de imagen,Shortcut viewer tonen/verbergen,画像同期パネルの切り替え
shortcut-viewer-toggle-ontology,Toggle terms panel,Afficher/Masquer le panneau des termes,Alternar panel de términos,Termenpaneel tonen/verbergen,用語パネルの切り替え
shortcut-viewer-toggle-overview,Toggle overview,Afficher/Masquer l'aperçu,Alternar vista previa,Voorbeeld tonen/verbergen,オーバービューの切り替え
shortcut-viewer-toggle-properties,Toggle properties panel,Afficher/Masquer le panneau des propriétés,Alternar panel de propiedades,Eigenschappenvenster tonen/verbergen,プロパティパネルの切り替え
shortcut-viewer-toggle-review-layer,Toggle review layer in review mode,Afficher/masquer le calque de validation en mode validation,,Validatielaag in review mode tonen/verbergen,レビューモードにおけるレビューレイヤーの切り替え
shortcut-viewer-toggle-review,Toggle review panel,Afficher/Masquer le panneau de validation,Alternar panel de revisión,Validatiepaneel tonen/verbergen,レビューパネルの切り替え
shortcut-viewer-toggle-selected-layers,Toggle visibility of selected layers,Afficher/masquer les calques d'annotations sélectionnés,,Toon/verberg geselecteerde annotatielagen,選択レイヤーの表示切り替え
shortcut-viewer-toggle-zoom,Toggle zoom panel,Afficher/Masquer le panneau de zoom,Alternar panel de zoom,Zoompaneel tonen/verbergen,ズームパネルの切り替え
shortcut-viewer-tool-circle,Draw a circle,Dessiner un cercle,Dibujar un circulo,Teken een cirkel,円を描く
shortcut-viewer-tool,Viewer: Tools, Visualisateur : Outils,Visor: Herramientas,Viewer: Tools,ビューアー：ツール
shortcut-viewer-tool-copy,Copy annotation,Copier l'annotation,,Annotatie kopiëren,アノテーションをコピー
shortcut-viewer-tool-correct-add,Correct annotation by adding a freehand area,Corriger l'annotation en lui ajoutant un polygone à main levée,Correjir anotación agregando un área a mano alzada,Annotatie verbeteren door er een polygoon uit de vrije hand aan toe te voegen,フリーハンド領域を追加してアノテーションを修正
